node1,node2,weight
301189,29531,1.0
301174,301221,1.5
301194,29532,0.9333333333333333
29517,301222,0.5
301192,29533,1.0
301162,301223,2.0
301188,29534,1.1666666666666667
301151,301224,2.3333333333333335
301190,29535,1.1666666666666667
301155,301225,2.3333333333333335
301195,29536,1.0
301164,301226,2.0
29506,29537,1.0
29491,301227,1.5
29503,29538,1.1666666666666667
29520,301228,0.5833333333333334
29494,29539,1.5
29509,301229,1.0
29523,29540,0.55
301201,301230,1.0
29497,29541,1.5
29512,301231,1.0
301198,29542,1.15
29492,301232,1.6666666666666667
29525,29543,0.5833333333333334
301197,301233,1.1666666666666667
301205,29544,1.0
29501,301234,1.4166666666666667
29516,29545,1.0
29499,301235,1.5
29493,29546,1.75
301183,301236,1.75
301207,29547,1.05
29504,301237,1.4833333333333334
29487,29548,2.0
29502,301238,1.5
29459,29549,2.9166666666666665
29495,301239,1.75
29505,29550,1.5
301180,301240,2.0
301224,29551,0.5833333333333334
29514,301241,1.1666666666666667
301208,29552,1.1666666666666667
29518,301242,1.1666666666666667
301213,29553,0.9666666666666667
29511,301243,1.4166666666666667
29526,29554,1.0
301184,301244,2.0
301210,29555,1.1666666666666667
301175,301245,2.3333333333333335
29528,29556,1.0
301187,301246,2.0
301232,29557,0.55
301214,301247,1.1833333333333333
29522,29558,1.25
301196,301248,1.75
301206,29559,1.5
29531,301249,1.0
29507,29560,1.75
301215,301250,1.1666666666666667
301234,29561,0.5166666666666667
301220,301251,1.0166666666666666
301237,29562,0.48333333333333334
301222,301252,1.0333333333333334
298333,29563,141.08333333333334
300228,301253,48.0
29521,29564,1.5
29536,301254,1.0
301185,29565,2.3333333333333335
299258,301255,94.33333333333333
301204,29566,1.75
29534,301256,1.1666666666666667
29090,29567,20.966666666666665
299251,301257,95.05
301199,29568,2.0
301216,301258,1.5
301172,29569,2.9166666666666665
29535,301259,1.1666666666666667
301202,29570,2.0
301218,301260,1.5
301193,29571,2.3333333333333335
29555,301261,0.5833333333333334
29524,29572,1.7
29542,301262,1.0666666666666667
301221,29573,1.5
301235,301263,1.0
29532,29574,1.4833333333333334
29547,301264,0.9333333333333333
301227,29575,1.25
301212,301265,1.75
29530,29576,1.5166666666666666
29544,301266,1.0166666666666666
29543,29577,1.1666666666666667
29560,301267,0.5833333333333334
301238,29578,1.0
301209,301268,2.0
27017,29579,120.5
301253,301269,0.5833333333333334
29550,29580,1.0
301211,301270,2.0
29563,29581,0.6666666666666666
29565,301271,0.5833333333333334
300785,29582,21.0
300780,301272,21.416666666666668
29539,29583,1.5
29554,301273,1.0
29541,29584,1.5
29556,301274,1.0
301252,29585,0.95
301264,301275,0.5
301228,29586,1.75
29538,301276,1.75
301247,29587,1.0333333333333334
29572,301277,0.5166666666666667
29576,29588,0.5166666666666667
29561,301278,1.0166666666666666
29548,29589,1.5
301223,301279,2.0
301226,29590,2.0
301240,301280,1.5
29579,29591,0.5833333333333334
301255,301281,1.0833333333333333
301257,29592,0.9666666666666667
29582,301282,0.5166666666666667
301229,29593,2.0
301258,301283,1.0
301271,29594,0.5833333333333334
301269,301284,0.6666666666666666
29557,29595,1.3833333333333333
301262,301285,0.8666666666666667
301231,29596,2.0
301260,301286,1.0
301266,29597,0.9833333333333333
301251,301287,1.4833333333333334
29562,29598,1.4833333333333334
29574,301288,1.0333333333333334
29519,29599,3.0
29578,301289,1.0
29564,29600,1.5
29580,301290,1.0
301272,29601,1.0333333333333334
29567,301291,1.4833333333333334
299795,29602,66.26666666666667
300830,301292,19.0
29591,29603,0.5833333333333334
29594,301293,0.5
301244,29604,2.0
29568,301294,1.5
29581,29605,1.1666666666666667
301281,301295,0.6666666666666666
301246,29606,2.0
29570,301296,1.5
28105,29607,66.45
299791,301297,66.95
28047,29609,72.03333333333333
300758,301299,24.016666666666666
301254,29610,2.0
301280,301300,1.0
301291,29611,0.45
301282,301301,0.9666666666666667
301295,29612,432.3333333333333
27922,301302,509.0
298724,29613,553.5833333333334
299356,301303,519.6666666666666
299003,29614,538.0
28400,301304,487.25
29140,29615,451.96666666666664
297053,301305,842.5333333333333
298524,29616,562.0833333333334
25627,301306,697.5
29612,29617,1.0
300229,301307,483.0833333333333
300532,29618,466.0
28828,301308,466.53333333333336
29616,29619,0.5
29613,301309,1.0
301304,29620,1.0
301302,301310,1.5
301305,29621,1.0166666666666666
28635,301311,476.51666666666665
299344,29622,521.6666666666666
301306,301312,1.0
29617,29623,1.0
29620,301313,0.5
29615,29624,1.5333333333333334
29618,301314,1.0166666666666666
29614,29625,2.0
301307,301315,1.5
301311,29626,0.9666666666666667
301308,301316,1.4666666666666666
29623,29627,1.0
29625,301317,0.5
29621,29628,1.4833333333333334
301314,301318,0.9666666666666667
301315,29629,1.0
301310,301319,2.0
301316,29630,1.0166666666666666
29624,301320,1.4666666666666666
29629,29631,0.5
29627,301321,1.0
301318,29632,0.9833333333333333
29626,301322,1.5
301319,29633,1.0
301317,301323,1.5
29630,29634,0.9833333333333333
29628,301324,1.4833333333333334
301322,29635,1.0
301320,301325,1.4833333333333334
29632,29636,1.5333333333333334
301325,301326,0.5333333333333333
301324,29637,1.55
29635,301327,1.05
28463,29638,491.81666666666666
27726,301328,523.8166666666667
29251,29639,452.35
301178,301329,444.26666666666665
298693,29640,562.4166666666666
300538,301330,472.5
300523,29641,473.1666666666667
25557,301331,710.0833333333334
301328,29642,0.9166666666666666
29639,301332,0.4
28833,29643,473.6666666666667
27003,301333,563.0
300070,29644,495.9166666666667
27319,301334,545.75
301329,29645,0.9
29638,301335,1.4166666666666667
298710,29646,562.5
25614,301336,706.5833333333334
300688,29647,467.8333333333333
298495,301337,571.1666666666666
29064,29648,465.4166666666667
301330,301338,1.1666666666666667
301335,29649,0.5
301332,301339,1.0
300852,29650,457.4166666666667
299243,301340,538.3333333333334
28414,29651,495.3333333333333
28837,301341,474.25
300710,29652,467.5
29034,301342,467.0
29590,29653,442.25
29368,301343,450.1666666666667
25539,29654,713.0
26470,301344,593.8333333333334
297289,29655,708.3333333333334
29647,301345,0.5833333333333334
297321,29656,705.8333333333334
297316,301346,706.3333333333334
29642,29657,1.5
29645,301347,1.0
29640,29658,1.75
29643,301348,1.1666666666666667
29641,29659,1.75
301334,301349,1.1666666666666667
288629,29660,1626.4166666666667
298539,301350,570.3333333333334
300149,29661,494.5833333333333
301336,301351,1.1666666666666667
286540,29662,1794.5833333333333
28834,301352,475.0
297297,29663,708.3333333333334
301337,301353,1.1666666666666667
27037,29664,563.0833333333334
29049,301354,467.25
301347,29665,0.6166666666666667
301339,301355,1.1166666666666667
29648,29666,1.1666666666666667
301333,301356,1.75
28321,29667,499.4166666666667
28314,301357,499.6666666666667
29347,29668,451.8333333333333
297221,301358,714.5
301341,29669,1.1666666666666667
301331,301359,2.3333333333333335
29646,29670,1.75
29653,301360,1.1666666666666667
29663,29671,0.5833333333333334
301345,301361,1.1666666666666667
29650,29672,1.5
301346,301362,1.0
29649,29673,1.5
29657,301363,1.0
29652,29674,1.5
301350,301364,1.0
29654,29675,1.5
301352,301365,1.0
301348,29676,1.1666666666666667
301338,301366,1.75
29644,29677,2.3333333333333335
29651,301367,1.75
29661,29678,1.1666666666666667
301343,301368,1.75
29655,29679,1.75
301353,301369,1.1666666666666667
301354,29680,1.0
301340,301370,2.0
301357,29681,1.0
301342,301371,2.0
301358,29682,1.0
301344,301372,2.0
25078,29683,930.5833333333334
295862,301373,1122.3833333333334
29666,29684,1.1666666666666667
29676,301374,0.5833333333333334
29659,29685,1.75
29669,301375,1.1666666666666667
29656,29686,2.0
29664,301376,1.5
301360,29687,1.1666666666666667
301351,301377,1.75
29671,29688,1.1666666666666667
29679,301378,0.5833333333333334
29660,29689,2.0
29667,301379,1.5
